NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
18,7,16,236,19,7,0,0,10,11,11,13,0,28,0,0,0,0,0,6,51,120,0,0,0,0.8767786039658387,0.36835187166091254,0,0,0,0,0,0.7047773273206188,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,1
12,1,2,201,49,8,0,0,14,14,10,19,0,34,0,0,0,0,0,26,147,38,0,1,0,0.46780370379362957,0.36401051622503455,0,0,0,0,0,0.2660591777259995,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0
16,4,12,200,48,0,0,0,2,17,22,18,0,33,0,0,0,0,0,14,114,164,0,2,0,0.9378227125715949,0.8446282024479141,0,0,0,0,0,0.46053073585943427,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0
11,6,12,47,25,0,0,0,11,5,7,1,0,77,0,0,0,0,0,117,58,140,0,0,0,0.402840075809187,0.444800737524748,0,0,0,0,0,0.13335717510736034,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0
20,12,2,189,15,7,0,0,0,4,3,3,0,24,0,0,0,0,0,27,152,158,0,0,0,0.9358171801347798,0.889985892867015,0,0,0,0,0,0.4544444119126446,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0
7,11,12,147,46,3,0,0,1,4,21,10,0,15,0,0,0,0,0,34,110,178,0,2,0,0.5598984162390978,0.6998696570511412,0,0,0,0,0,0.7850342133961097,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,1
12,7,0,113,0,1,0,0,7,15,8,10,0,24,0,0,0,0,0,109,141,109,0,1,0,0.14787481913724732,0.4394287711491325,0,0,0,0,0,0.885836932755142,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,1
12,4,5,236,41,6,0,0,8,9,3,1,0,16,0,0,0,0,0,60,29,25,0,1,0,0.27568172116547884,0.5183133420652456,0,0,0,0,0,0.9033781313776523,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,1
1,6,12,112,49,4,0,0,1,15,11,2,0,27,0,0,0,0,0,54,40,1,0,2,0,0.06723005099310675,0.06694033259589116,0,0,0,0,0,0.39836164334303015,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0
8,6,14,168,35,2,0,0,4,14,8,16,0,92,0,0,0,0,0,92,90,0,0,0,0,0.5667084774767338,0.7544906956195497,0,0,0,0,0,0.5943354218492476,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,1
13,3,14,234,5,0,0,0,4,4,20,17,0,83,0,0,0,0,0,108,103,63,0,0,0,0.5825923349275451,0.37128235110341734,0,0,0,0,0,0.23395022570862578,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0
18,12,15,198,47,1,0,0,3,15,6,18,0,16,0,0,0,0,0,102,50,103,0,0,0,0.9355829461955085,0.041713563851190516,0,0,0,0,0,0.031802738866926195,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0
6,11,12,189,25,3,0,0,11,7,22,18,0,47,0,0,0,0,0,14,39,43,0,1,0,0.7069448823000327,0.14353868205394615,0,0,0,0,0,0.6151237669148908,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0
11,5,10,174,36,3,0,0,14,17,15,17,0,35,0,0,0,0,0,81,141,125,0,2,0,0.43286774983378895,0.18664049605545274,0,0,0,0,0,0.06371844621445155,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0
16,13,14,88,19,3,0,0,4,3,0,1,0,74,0,0,0,0,0,71,95,49,0,2,0,0.9273013094707961,0.44786588959044193,0,0,0,0,0,0.244244932109269,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0
9,1,5,141,27,5,0,0,10,13,15,10,0,98,0,0,0,0,0,110,77,141,0,1,0,0.5847831817048764,0.49752663866087043,0,0,0,0,0,0.732285981911943,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,1
19,11,9,162,13,1,0,0,6,11,15,0,0,72,0,0,0,0,0,62,98,93,0,2,0,0.6987588585425345,0.6989309625853024,0,0,0,0,0,0.8272250711596641,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,1
17,2,2,85,42,6,0,0,15,15,22,21,0,58,0,0,0,0,0,126,53,33,0,2,0,0.25791481790140847,0.460015820430435,0,0,0,0,0,0.46461692772864316,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0
19,4,2,200,16,7,0,0,14,13,13,13,0,75,0,0,0,0,0,69,129,54,0,0,0,0.46881475659656324,0.3234634572544569,0,0,0,0,0,0.855960585250608,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,1
7,3,9,239,52,1,0,0,5,17,13,4,0,60,0,0,0,0,0,10,15,85,0,1,0,0.48051226137221303,0.9053578771448465,0,0,0,0,0,0.9747690453075158,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,1
2,9,7,167,33,3,0,0,13,17,20,6,0,51,0,0,0,0,0,82,23,158,0,2,0,0.20112475336378366,0.8079254731797715,0,0,0,0,0,0.9617329645507253,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1
7,12,16,143,22,6,0,0,7,1,19,20,0,0,0,0,0,0,0,72,51,157,0,0,0,0.6913399415362633,0.23754115231564144,0,0,0,0,0,0.014129651584005587,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,1
10,10,8,209,41,8,0,0,7,11,20,4,0,73,0,0,0,0,0,31,156,164,0,0,0,0.7024387266673614,0.5094847422897509,0,0,0,0,0,0.8521745270901956,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,1
17,2,0,252,2,5,0,0,5,5,9,5,0,109,0,0,0,0,0,136,96,162,0,0,0,0.8055415493772394,0.5938322242570974,0,0,0,0,0,0.7227191248764638,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0
16,11,4,114,24,1,0,0,14,10,9,4,0,43,0,0,0,0,0,66,147,142,0,1,0,0.2596233387539941,0.3735136439279598,0,0,0,0,0,0.07124182378089716,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0
12,10,17,50,27,8,0,0,0,5,16,5,0,93,0,0,0,0,0,83,107,125,0,2,0,0.34895852772368774,0.7755285072715141,0,0,0,0,0,0.14396549460830488,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
9,9,8,117,34,0,0,0,11,9,8,14,0,12,0,0,0,0,0,87,81,58,0,2,0,0.039276122661300206,0.03010376999697073,0,0,0,0,0,0.28976542453182685,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
15,4,15,87,4,6,0,0,6,8,15,2,0,92,0,0,0,0,0,27,134,172,0,0,0,0.8048716402185484,0.346704145239888,0,0,0,0,0,0.6688145811204137,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,1
11,10,8,154,30,7,0,0,13,4,12,12,0,99,0,0,0,0,0,53,150,137,0,2,0,0.11747502402377541,0.7740649952311618,0,0,0,0,0,0.9455134932591023,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1
18,6,11,239,21,2,0,0,1,8,4,7,0,64,0,0,0,0,0,9,153,147,0,1,0,0.44520061009481404,0.9981808791392185,0,0,0,0,0,0.36078767663014644,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0
15,2,15,169,16,4,0,0,3,17,12,17,0,16,0,0,0,0,0,79,28,21,0,0,0,0.49979585128859116,0.33366249735961806,0,0,0,0,0,0.9986358770053827,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
1,11,12,51,19,2,0,0,10,13,1,11,0,72,0,0,0,0,0,15,68,83,0,1,0,0.6918044266955732,0.6500511995902213,0,0,0,0,0,0.9586800890377305,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
18,10,3,56,29,0,0,0,14,6,10,10,0,41,0,0,0,0,0,30,114,39,0,0,0,0.05004212080056736,0.26514354456438194,0,0,0,0,0,0.2588220057901257,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0
5,13,3,239,20,1,0,0,4,12,20,21,0,42,0,0,0,0,0,79,69,152,0,2,0,0.05093834512605244,0.7736500543291546,0,0,0,0,0,0.8185113072107937,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,1
15,12,7,240,35,4,0,0,8,7,8,17,0,95,0,0,0,0,0,15,149,108,0,2,0,0.29302152764640477,0.28965231638153244,0,0,0,0,0,0.35852336956098074,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0
16,8,7,144,49,3,0,0,3,6,16,3,0,30,0,0,0,0,0,117,113,157,0,2,0,0.9232456628666506,0.15775774125642894,0,0,0,0,0,0.31676788139486556,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
9,11,10,122,32,2,0,0,15,1,16,20,0,41,0,0,0,0,0,112,49,161,0,0,0,0.022418781005054345,0.16304816300458103,0,0,0,0,0,0.4362139391984835,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,1
19,13,11,14,35,5,0,0,10,10,18,18,0,67,0,0,0,0,0,27,70,89,0,1,0,0.5233557389328827,0.635696013522206,0,0,0,0,0,0.1873213236165282,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0
13,6,10,172,9,6,0,0,10,1,12,15,0,38,0,0,0,0,0,90,38,184,0,1,0,0.26823627096463654,0.05867256811229615,0,0,0,0,0,0.7232146399242426,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1
14,12,16,120,15,2,0,0,9,2,16,5,0,27,0,0,0,0,0,59,158,109,0,2,0,0.9088506988783019,0.013721470088267407,0,0,0,0,0,0.11962142513681884,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0
17,12,13,38,3,4,0,0,10,7,5,21,0,88,0,0,0,0,0,65,55,30,0,0,0,0.31756773599510046,0.2656821419391586,0,0,0,0,0,0.18309018132787103,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0
12,3,15,143,3,5,0,0,1,3,12,15,0,73,0,0,0,0,0,33,49,66,0,1,0,0.6262975662031687,0.5113734815089095,0,0,0,0,0,0.5438897100014646,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1
14,8,3,150,53,3,0,0,0,3,19,16,0,97,0,0,0,0,0,133,64,61,0,0,0,0.2475223338948156,0.01771512370603079,0,0,0,0,0,0.7124998852540673,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
19,0,6,198,28,0,0,0,11,14,10,21,0,87,0,0,0,0,0,8,65,164,0,2,0,0.23235408070327734,0.7426787035735277,0,0,0,0,0,0.9974421886694004,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0
10,5,10,199,15,7,0,0,12,5,19,6,0,103,0,0,0,0,0,45,2,141,0,1,0,0.8801708560705479,0.8545849129072075,0,0,0,0,0,0.033805900400074584,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0
11,6,12,173,5,6,0,0,3,15,21,19,0,47,0,0,0,0,0,69,13,19,0,2,0,0.838130987188435,0.16822091599924716,0,0,0,0,0,0.22682842359120603,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0
10,12,14,186,35,7,0,0,11,15,7,6,0,9,0,0,0,0,0,36,109,178,0,0,0,0.8554498384246603,0.207947916388578,0,0,0,0,0,0.3506150456647238,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0
16,8,4,18,21,8,0,0,10,1,17,0,0,79,0,0,0,0,0,79,121,91,0,0,0,0.8888150538290664,0.7698346539601867,0,0,0,0,0,0.12730632216356097,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0
13,8,8,73,39,4,0,0,5,3,11,0,0,63,0,0,0,0,0,23,125,55,0,1,0,0.6346178576368307,0.6042143505563314,0,0,0,0,0,0.7045633362240357,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,1
16,10,1,156,4,2,0,0,8,17,20,12,0,77,0,0,0,0,0,92,48,27,0,0,0,0.13180034886034186,0.8694831131401362,0,0,0,0,0,0.8922272747395659,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
6,1,8,182,17,6,0,0,1,8,7,20,0,24,0,0,0,0,0,88,32,174,0,1,0,0.15706608101491992,0.8253821598053943,0,0,0,0,0,0.488303890750885,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,0
2,4,17,194,6,6,0,0,7,9,15,20,0,34,0,0,0,0,0,36,56,86,0,0,0,0.379582900454595,0.72712753756793,0,0,0,0,0,0.07859391003926752,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0
5,6,13,244,37,1,0,0,9,12,22,3,0,56,0,0,0,0,0,10,133,140,0,0,0,0.733703982694627,0.6074683987275041,0,0,0,0,0,0.18504419480538026,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0
13,7,10,117,36,5,0,0,4,14,14,17,0,14,0,0,0,0,0,99,91,93,0,2,0,0.3079393204974177,0.4129691291719845,0,0,0,0,0,0.2683637022513842,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0
1,2,5,125,54,2,0,0,3,5,2,2,0,22,0,0,0,0,0,53,26,157,0,1,0,0.36764563281810136,0.2554781664201021,0,0,0,0,0,0.3452271727642956,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0
13,8,14,12,42,3,0,0,7,2,6,14,0,92,0,0,0,0,0,135,45,48,0,2,0,0.787243838617811,0.6147782795001387,0,0,0,0,0,0.5777371762385305,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,1
20,9,9,155,43,6,0,0,6,2,4,12,0,57,0,0,0,0,0,35,6,89,0,0,0,0.5265663458900963,0.9097797512027159,0,0,0,0,0,0.8950239279346107,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,1
18,0,1,118,36,7,0,0,9,3,22,11,0,34,0,0,0,0,0,29,111,98,0,2,0,0.19763506339446646,0.08183723131906906,0,0,0,0,0,0.29431183481125467,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0
8,2,14,60,4,7,0,0,3,16,19,5,0,88,0,0,0,0,0,136,105,46,0,1,0,0.6167626168038318,0.6938589532304625,0,0,0,0,0,0.9941558106976626,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,1
2,2,2,60,47,8,0,0,13,10,15,17,0,99,0,0,0,0,0,116,135,34,0,0,0,0.5349986773996549,0.006824170389189144,0,0,0,0,0,0.05265868336188273,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0
5,0,12,205,27,0,0,0,2,5,20,7,0,10,0,0,0,0,0,98,80,8,0,0,0,0.4792734254239015,0.7308784803243283,0,0,0,0,0,0.9494947713702413,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,1
12,1,13,98,18,4,0,0,2,15,8,12,0,51,0,0,0,0,0,130,139,170,0,2,0,0.5375963857596626,0.4319129227966291,0,0,0,0,0,0.42967139137144184,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
17,12,14,176,54,3,0,0,6,15,19,1,0,35,0,0,0,0,0,109,28,68,0,2,0,0.5833898492545131,0.08286478863296665,0,0,0,0,0,0.9007703325328662,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,1
4,4,2,18,15,5,0,0,12,0,20,12,0,10,0,0,0,0,0,68,150,106,0,2,0,0.18147907938521946,0.04281393487362739,0,0,0,0,0,0.7711299594644425,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,1
14,6,15,218,50,8,0,0,15,5,15,16,0,103,0,0,0,0,0,74,75,124,0,0,0,0.5719063989235468,0.24048513432089813,0,0,0,0,0,0.17857323003381242,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0
13,3,11,227,10,4,0,0,15,9,13,9,0,10,0,0,0,0,0,101,48,38,0,2,0,0.4993152940044735,0.32160346787589444,0,0,0,0,0,0.4150602913987076,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,0
9,4,0,213,35,7,0,0,8,6,22,2,0,2,0,0,0,0,0,58,86,81,0,2,0,0.1496459866362997,0.8273378948693413,0,0,0,0,0,0.4712617615542394,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0
5,6,9,141,34,1,0,0,13,3,10,12,0,76,0,0,0,0,0,96,101,131,0,2,0,0.3343639710801387,0.7283820339438947,0,0,0,0,0,0.809237616933804,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1
4,3,13,227,22,2,0,0,4,17,20,17,0,40,0,0,0,0,0,133,143,172,0,2,0,0.5498601659253823,0.3698245557556311,0,0,0,0,0,0.6705533011570662,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,1
14,10,3,105,8,6,0,0,1,5,0,13,0,87,0,0,0,0,0,67,77,187,0,0,0,0.25977883670728685,0.025714057475706764,0,0,0,0,0,0.9437838225150552,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1
19,6,13,69,44,0,0,0,11,16,6,0,0,22,0,0,0,0,0,76,45,4,0,1,0,0.6974697075909715,0.08972288513818438,0,0,0,0,0,0.7603674743233264,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1
11,1,9,22,9,7,0,0,14,2,12,3,0,6,0,0,0,0,0,134,112,58,0,0,0,0.3824727686848922,0.3259182011416797,0,0,0,0,0,0.4856217727389799,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0
18,0,8,250,8,5,0,0,14,3,21,8,0,73,0,0,0,0,0,46,142,19,0,1,0,0.5742168639402467,0.7798486264007989,0,0,0,0,0,0.1385799026446768,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0
8,10,0,189,33,6,0,0,2,18,4,14,0,8,0,0,0,0,0,95,119,148,0,2,0,0.031095152574281304,0.7352337961689199,0,0,0,0,0,0.4261339221229712,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0
12,0,3,61,29,1,0,0,8,13,22,12,0,9,0,0,0,0,0,136,160,41,0,2,0,0.1216648770629144,0.8757285607700553,0,0,0,0,0,0.5201465678392958,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
10,9,15,28,4,3,0,0,6,4,4,8,0,47,0,0,0,0,0,63,115,99,0,2,0,0.1881804156472956,0.8525808994024942,0,0,0,0,0,0.8607275910689425,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,1
3,3,12,100,7,3,0,0,0,5,17,17,0,6,0,0,0,0,0,63,25,56,0,1,0,0.0968759455120235,0.6539904806027816,0,0,0,0,0,0.8871769157621008,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1
20,10,0,223,36,0,0,0,13,12,3,0,0,52,0,0,0,0,0,130,90,174,0,0,0,0.05898590313556773,0.6312359295642783,0,0,0,0,0,0.31818529310477695,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0
7,2,16,31,16,0,0,0,7,14,0,12,0,44,0,0,0,0,0,107,108,88,0,0,0,0.1049002000166086,0.16935658224883754,0,0,0,0,0,0.41331169396288014,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0
10,5,7,195,47,8,0,0,5,8,17,18,0,99,0,0,0,0,0,136,87,27,0,1,0,0.6979552249888786,0.09339109320683003,0,0,0,0,0,0.022957927610475992,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0
19,13,14,188,34,1,0,0,13,9,17,11,0,25,0,0,0,0,0,53,110,103,0,0,0,0.1432751328439582,0.36183365512645815,0,0,0,0,0,0.17640594736494264,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0
20,10,7,210,50,1,0,0,11,9,15,15,0,59,0,0,0,0,0,66,156,160,0,0,0,0.5504684999001722,0.804345263517745,0,0,0,0,0,0.8231744265014589,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1
11,3,11,85,33,7,0,0,15,8,11,14,0,109,0,0,0,0,0,127,68,47,0,2,0,0.16530270307560047,0.2538186633649755,0,0,0,0,0,0.8156441685808947,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,1
9,10,16,71,43,3,0,0,3,18,1,21,0,37,0,0,0,0,0,38,19,132,0,1,0,0.18106468981140167,0.6620701222213193,0,0,0,0,0,0.8358843787422606,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1
